l3,l0,b4,b0
c4,A1,A6,C4
C2,a2,l2,B5
C3,l1,a2,B5
c1,A1,b1,B7
a4,l0,L7,L4
a0,L2,C3,C4
l3,L6,b2,B4
c1,a3,l2,L2
c1,B7,L7,A7
c3,L0,A0,A6
L4,L5,A1,C1
a1,B2,B7,A4
c1,B6,L7,L3
b4,L6,L0,C1
c3,a1,l2,B2
A4,A5,c2,b1
A4,A1,L2,b3
C1,c3,c2,b4
l1,b0,c0,b2
L4,B3,b1,a2
L0,L5,l1,B0
C6,a2,c3,B0
L4,A1,l2,B2
b1,l1,l0,C7
b1,a2,L4,A5
B0,B4,l0,L1
c4,l2,L5,A4
c4,L2,L7,C4
b2,b3,c3,B2
b0,B7,C6,A7
b2,B2,B0,L0
A1,C4,l2,l4
A6,C3,C5,a1
l3,c0,c2,b1
a4,C2,B3,b0
L0,C3,c3,L3
L7,L3,B2,B5
L0,L3,C6,B4
L6,a2,c2,b1
c0,a0,C1,C3
b1,B3,C1,A2
c2,a4,l3,L0
l3,C1,B5,A2
a2,C6,B7,L5
B5,C1,L1,L2
a0,C7,L6,b0
a4,l3,a2,C3
b1,C3,C0,a4
b1,b3,A2,A7
B2,L5,a0,c3
l4,L3,a0,b1
B4,L3,C4,c1
a0,C6,C2,b2
l4,A1,A4,a1
L4,l1,l3,c3
a3,c1,B2,L3
a2,b4,C6,C4
l0,B6,L1,L7
b3,C2,A3,A5
c2,C7,B3,L3
l0,C6,L1,L0
c4,l4,a0,B1
a0,C2,L5,L0
