A4,l1,a2,b0
L5,C4,C3,C1
A1,B6,C0,b3
l2,A4,B1,b0
C6,l2,l3,B5
a2,C5,C1,B7
L0,A3,A4,B7
A4,C4,C5,c0
a4,c2,B4,C2
A3,c1,L3,L7
a3,L6,B2,B5
L6,B3,C7,C6
B7,B5,C3,C6
b4,b1,A5,C2
L3,L0,A2,C0
l1,l0,c2,C1
a2,L5,A5,l0
L6,C3,C6,a3
B7,B6,C7,A0
A7,l1,a3,B4
B6,L3,A2,c3
L2,A3,l0,a3
A1,l3,C1,b0
L5,c1,B6,b2
l3,L6,a3,b0
A1,A5,l0,c3
a4,a1,B7,C4
L5,A5,l4,b3
l3,A6,a0,B3
l4,A4,B5,c2
A7,B5,C7,C2
a4,L0,B0,C4
L2,l0,c3,B7
L3,L2,b3,b1
a4,c4,C1,B6
A1,C6,c0,B7
a4,A4,a2,b4
L7,A1,l3,c2
A4,L1,B1,B4
L7,l3,b4,B0
L0,L4,L3,B3
A3,A2,a4,B3
A6,L0,C3,l2
L4,C3,b4,B1
A2,A1,l3,B0
L4,C2,b4,b3
A7,l4,b0,b1
b0,b1,B1,B6
b3,b1,B0,B5
L6,A7,c2,C1
L5,b2,L7,C0
L1,a3,L5,c3
A1,B3,C7,C2
A4,B3,l0,L0
B7,A7,b4,B4
B2,c1,L5,c2
