34,60,21,41
30,21,57,87
0,0,0,0
48,45,18,81
0,0,0,0
71,55,8,37
32,26,39,18
27,15,100,82
62,29,70,58
100,41,100,89
0,0,0,0
0,0,0,0
100,31,0,6
0,0,0,0
39,36,53,30
18,38,27,23
0,0,0,0
41,77,35,64
55,39,100,32
16,8,62,0
0,100,0,0
14,41,69,15
60,42,36,52
33,25,53,32
0,22,79,81
38,63,32,78
82,52,69,46
0,32,0,100
7,25,30,16
59,68,59,66
75,94,83,96
0,0,0,0
0,0,0,0
100,100,0,76
62,37,71,91
86,81,81,69
100,9,97,18
0,0,0,0
0,100,100,0
76,19,29,49
97,93,5,100
36,40,38,30
40,0,67,62
31,17,50,31
33,32,46,65
16,89,48,100
100,79,21,55
38,74,32,87
52,40,73,21
8,2,53,100
0,0,0,0
6,6,5,10
12,0,20,33
1,0,79,79
6,100,95,95
0,0,0,0
0,0,50,0
100,97,95,100
39,0,100,52
10,16,21,5
0,0,0,0
0,0,0,0
15,11,22,45
20,8,4,3
46,41,45,43
38,53,44,65
16,56,20,50
7,100,11,51
0,0,0,0
4,100,51,33
